prompt_tokens,output_tokens,tokens_total,domain,latency_requirement_ms,quality_req_tier,quality_requirement,log_tokens_total,strict_latency,domain_penalty,label_model
310,184,494,chat,1500,4,0.725,6.20455776256869,0,0.0,Claude 3.6S
1186,945,2131,writing,1500,3,0.6,7.664815785285735,0,0.04,Claude 3.6S
337,417,754,writing,800,4,0.725,6.626717749249025,0,0.04,Claude 3.6S
2468,1280,3748,code,1500,3,0.6,8.229244416735911,0,0.07,Claude 3.6S
2077,418,2495,code,1500,3,0.6,7.822444729489318,0,0.07,Claude 3.6S
233,263,496,qa,400,2,0.475,6.208590026096629,1,0.03,Claude 3.6S
1017,482,1499,code,1500,4,0.725,7.313220387090301,0,0.07,Claude 3.6S
7366,3000,10366,code,400,5,0.85,9.246382963323112,1,0.07,Gemini 3
8426,3000,11426,qa,6000,4,0.725,9.343734255146714,0,0.03,Claude 3.6S
1531,427,1958,writing,200,2,0.475,7.58018941794454,1,0.04,Gemini 3
448,387,835,writing,800,3,0.6,6.728628613084702,0,0.04,Claude 3.6S
463,308,771,reasoning,800,2,0.475,6.648984550024776,0,0.08,Claude 3.6S
7532,3000,10532,qa,800,3,0.6,9.262268464836541,0,0.03,Gemini 3
1320,1047,2367,writing,400,2,0.475,7.769800996003896,1,0.04,Gemini 3
493,433,926,reasoning,1500,4,0.725,6.831953565565855,0,0.08,Claude 3.6S
1588,1057,2645,chat,1500,1,0.35,7.8808043446749005,0,0.0,Claude 3.6S
843,517,1360,reasoning,400,3,0.6,7.215975002651466,1,0.08,Gemini 3
1477,493,1970,qa,1500,4,0.725,7.58629630715272,0,0.03,Claude 3.6S
229,280,509,writing,6000,2,0.475,6.234410725718371,0,0.04,Claude 3.6S
323,134,457,reasoning,1500,2,0.475,6.1268691841141845,0,0.08,Claude 3.6S
358,245,603,code,1500,1,0.35,6.403574197934815,0,0.07,Claude 3.6S
290,180,470,chat,3000,3,0.6,6.154858094016418,0,0.0,Claude 3.6S
518,342,860,code,1500,2,0.475,6.7580945044277305,0,0.07,Claude 3.6S
419,444,863,reasoning,800,1,0.35,6.761572768804055,0,0.08,Claude 3.6S
2038,783,2821,chat,400,3,0.6,7.945201132412759,1,0.0,Gemini 3
170,234,404,writing,1500,4,0.725,6.003887067106539,0,0.04,Claude 3.6S
1875,934,2809,code,3000,5,0.85,7.940939762327791,0,0.07,Claude 3.6S
478,202,680,reasoning,6000,3,0.6,6.523562306149512,0,0.08,Claude 3.6S
438,246,684,qa,400,2,0.475,6.529418838262225,1,0.03,Claude 3.6S
233,200,433,qa,1500,3,0.6,6.073044534100404,0,0.03,Claude 3.6S
114,223,337,chat,200,1,0.35,5.823045895483019,1,0.0,Gemini 3
8006,1300,9306,code,1500,2,0.475,9.13852208418571,0,0.07,Claude 3.6S
1102,761,1863,chat,3000,1,0.35,7.530479995245536,0,0.0,Claude 3.6S
373,153,526,code,3000,2,0.475,6.267200548541362,0,0.07,Claude 3.6S
848,526,1374,code,6000,4,0.725,7.226209010100671,0,0.07,Claude 3.6S
2482,636,3118,chat,200,3,0.6,8.045267716607803,1,0.0,Gemini 3
103,117,220,code,1500,2,0.475,5.3981627015177525,0,0.07,Claude 3.6S
1035,850,1885,qa,1500,3,0.6,7.542213463193402,0,0.03,Claude 3.6S
2267,743,3010,qa,400,1,0.35,8.010027528481734,1,0.03,Gemini 3
69,266,335,chat,800,2,0.475,5.817111159963204,0,0.0,Claude 3.6S
892,397,1289,writing,800,2,0.475,7.162397497355718,0,0.04,Claude 3.6S
2218,835,3053,chat,6000,2,0.475,8.024207485778577,0,0.0,Claude 3.6S
4324,2602,6926,chat,200,1,0.35,8.843182098022604,1,0.0,Gemini 3
425,381,806,qa,6000,3,0.6,6.693323668269948,0,0.03,Claude 3.6S
3121,1864,4985,writing,1500,3,0.6,8.514389264083503,0,0.04,Claude 3.6S
34,246,280,chat,3000,2,0.475,5.638354669333745,0,0.0,Claude 3.6S
1845,428,2273,reasoning,1500,2,0.475,7.729295674310481,0,0.08,Claude 3.6S
1747,791,2538,chat,3000,3,0.6,7.839525581704678,0,0.0,Claude 3.6S
435,374,809,chat,1500,2,0.475,6.697034247666484,0,0.0,Claude 3.6S
193,183,376,reasoning,1500,2,0.475,5.932245187448011,0,0.08,Claude 3.6S
1516,692,2208,reasoning,400,1,0.35,7.700295203420117,1,0.08,Gemini 3
318,233,551,code,800,2,0.475,6.313548046277095,0,0.07,Claude 3.6S
2174,593,2767,writing,3000,3,0.6,7.92588031673756,0,0.04,Claude 3.6S
1599,1030,2629,reasoning,800,3,0.6,7.87473912517181,0,0.08,Claude 3.6S
2390,1834,4224,chat,1500,3,0.6,8.348774539791274,0,0.0,Claude 3.6S
2313,1364,3677,qa,1500,3,0.6,8.210124405164265,0,0.03,Claude 3.6S
95,257,352,chat,400,3,0.6,5.8664680569332965,1,0.0,Claude 3.6S
335,416,751,writing,3000,1,0.35,6.62273632394984,0,0.04,Claude 3.6S
298,254,552,chat,400,1,0.35,6.315358001522335,1,0.0,Claude 3.6S
67,273,340,chat,6000,1,0.35,5.831882477283517,0,0.0,Claude 3.6S
255,76,331,writing,800,3,0.6,5.805134968916488,0,0.04,Claude 3.6S
3105,993,4098,reasoning,3000,2,0.475,8.318498320504338,0,0.08,Claude 3.6S
1326,955,2281,qa,1500,2,0.475,7.73280753042202,0,0.03,Claude 3.6S
278,423,701,chat,800,3,0.6,6.553933404025811,0,0.0,Claude 3.6S
111,79,190,code,6000,2,0.475,5.25227342804663,0,0.07,Claude 3.6S
6681,1375,8056,writing,1500,2,0.475,8.994296557777195,0,0.04,Claude 3.6S
128,76,204,code,1500,1,0.35,5.323009979138408,0,0.07,Claude 3.6S
8339,3000,11339,qa,400,3,0.6,9.336091577281742,1,0.03,Gemini 3
1333,772,2105,reasoning,1500,2,0.475,7.652545692693921,0,0.08,Claude 3.6S
2189,1624,3813,code,1500,1,0.35,8.246433786160365,0,0.07,Claude 3.6S
611,348,959,qa,3000,1,0.35,6.866933284461882,0,0.03,Claude 3.6S
2498,1190,3688,code,200,2,0.475,8.213110697596676,1,0.07,Gemini 3
2186,596,2782,qa,800,3,0.6,7.93128476152589,0,0.03,Claude 3.6S
425,357,782,qa,200,4,0.725,6.663132695990803,1,0.03,Gemini 3
1653,617,2270,chat,1500,4,0.725,7.7279755421055585,0,0.0,Claude 3.6S
22,60,82,qa,3000,1,0.35,4.418840607796597,0,0.03,Claude 3.6S
8333,3000,11333,writing,400,3,0.6,9.335562336729565,1,0.04,Gemini 3
348,302,650,code,3000,2,0.475,6.478509642208569,0,0.07,Claude 3.6S
370,346,716,writing,400,1,0.35,6.57507584059962,1,0.04,Claude 3.6S
948,722,1670,writing,800,3,0.6,7.421177528595393,0,0.04,Claude 3.6S
4214,2830,7044,writing,800,3,0.6,8.86007342433278,0,0.04,Claude 3.6S
273,125,398,chat,3000,3,0.6,5.988961416889863,0,0.0,Claude 3.6S
1234,248,1482,chat,3000,3,0.6,7.301822342137932,0,0.0,Claude 3.6S
853,360,1213,writing,3000,4,0.725,7.101675971619444,0,0.04,Claude 3.6S
2150,669,2819,qa,3000,4,0.725,7.944492163932159,0,0.03,Claude 3.6S
1582,652,2234,reasoning,400,3,0.6,7.711996507047669,1,0.08,Gemini 3
8922,3000,11922,chat,800,3,0.6,9.386224586806131,0,0.0,Gemini 3
39,45,84,code,400,4,0.725,4.442651256490317,1,0.07,Claude 3.6S
185,253,438,chat,800,4,0.725,6.0844994130751715,0,0.0,Claude 3.6S
147,193,340,qa,3000,5,0.85,5.831882477283517,0,0.03,Claude 3.6S
200,203,403,code,400,2,0.475,6.00141487796115,1,0.07,Claude 3.6S
266,138,404,chat,800,2,0.475,6.003887067106539,0,0.0,Claude 3.6S
4096,1935,6031,writing,200,2,0.475,8.704833909687792,1,0.04,Gemini 3
1650,580,2230,code,1500,5,0.85,7.7102051944325325,0,0.07,Claude 3.6S
318,363,681,writing,200,3,0.6,6.5250296578434615,1,0.04,Gemini 3
955,911,1866,qa,800,2,0.475,7.532088143541722,0,0.03,Claude 3.6S
97,72,169,qa,400,1,0.35,5.135798437050261,1,0.03,Claude 3.6S
1619,1089,2708,code,1500,3,0.6,7.9043348420850945,0,0.07,Claude 3.6S
2242,983,3225,code,1500,1,0.35,8.078998258685154,0,0.07,Claude 3.6S
473,505,978,reasoning,6000,2,0.475,6.88653164253051,0,0.08,Claude 3.6S
3784,992,4776,chat,1500,2,0.475,8.471568013389962,0,0.0,Claude 3.6S
34,197,231,code,1500,3,0.6,5.44673737166631,0,0.07,Claude 3.6S
1240,912,2152,qa,6000,2,0.475,7.674617497364363,0,0.03,Claude 3.6S
806,579,1385,chat,200,3,0.6,7.234177179749849,1,0.0,Gemini 3
477,360,837,qa,3000,2,0.475,6.731018100482083,0,0.03,Claude 3.6S
245,268,513,reasoning,1500,1,0.35,6.242223265455165,0,0.08,Claude 3.6S
92,139,231,qa,3000,2,0.475,5.44673737166631,0,0.03,Claude 3.6S
1113,411,1524,qa,3000,3,0.6,7.3297496890415115,0,0.03,Claude 3.6S
830,471,1301,qa,800,3,0.6,7.171656822768514,0,0.03,Claude 3.6S
1881,622,2503,chat,400,1,0.35,7.825644732219989,1,0.0,Gemini 3
471,164,635,writing,1500,1,0.35,6.455198563340122,0,0.04,Claude 3.6S
5354,1512,6866,reasoning,200,2,0.475,8.834482608620677,1,0.08,Gemini 3
842,599,1441,reasoning,400,3,0.6,7.273786317844894,1,0.08,Gemini 3
1912,801,2713,qa,3000,5,0.85,7.906178840394814,0,0.03,Claude 3.6S
1739,1281,3020,chat,3000,3,0.6,8.013343181386672,0,0.0,Claude 3.6S
9363,3000,12363,writing,6000,3,0.6,9.422544303252007,0,0.04,Claude 3.6S
314,362,676,qa,400,5,0.85,6.517671272912275,1,0.03,Claude 3.6S
108,138,246,code,3000,1,0.35,5.5093883366279774,0,0.07,Claude 3.6S
113,136,249,writing,800,4,0.725,5.521460917862246,0,0.04,Claude 3.6S
425,314,739,code,3000,4,0.725,6.606650186198215,0,0.07,Claude 3.6S
240,196,436,code,800,2,0.475,6.07993319509559,0,0.07,Claude 3.6S
257,180,437,reasoning,3000,1,0.35,6.0822189103764455,0,0.08,Claude 3.6S
1951,803,2754,qa,1500,1,0.35,7.9211727215870145,0,0.03,Claude 3.6S
45,121,166,chat,400,4,0.725,5.1179938124167546,1,0.0,Claude 3.6S
2362,1124,3486,writing,1500,1,0.35,8.156797046675651,0,0.04,Claude 3.6S
277,235,512,chat,1500,1,0.35,6.240275845170769,0,0.0,Claude 3.6S
1549,886,2435,writing,800,2,0.475,7.798112628829787,0,0.04,Claude 3.6S
407,326,733,qa,1500,2,0.475,6.598509028614515,0,0.03,Claude 3.6S
368,339,707,chat,800,2,0.475,6.56244409369372,0,0.0,Claude 3.6S
9710,1998,11708,qa,400,5,0.85,9.368113055848724,1,0.03,Gemini 3
1740,784,2524,reasoning,3000,4,0.725,7.83399634170946,0,0.08,Claude 3.6S
650,556,1206,writing,800,3,0.6,7.095893221097532,0,0.04,Claude 3.6S
1367,897,2264,code,3000,4,0.725,7.725330037917134,0,0.07,Claude 3.6S
2480,1665,4145,chat,1500,2,0.475,8.329899292995725,0,0.0,Claude 3.6S
189,106,295,code,3000,3,0.6,5.69035945432406,0,0.07,Claude 3.6S
1628,959,2587,qa,1500,3,0.6,7.858640655620791,0,0.03,Claude 3.6S
412,391,803,code,3000,1,0.35,6.6895992691789665,0,0.07,Claude 3.6S
2436,1557,3993,writing,800,2,0.475,8.29254851397576,0,0.04,Claude 3.6S
2565,838,3403,chat,6000,1,0.35,8.132706489693264,0,0.0,Claude 3.6S
1046,802,1848,code,800,2,0.475,7.522400231387125,0,0.07,Claude 3.6S
250,269,519,reasoning,200,2,0.475,6.253828811575473,1,0.08,Gemini 3
317,433,750,code,3000,1,0.35,6.621405651764134,0,0.07,Claude 3.6S
462,428,890,chat,6000,1,0.35,6.792344427470809,0,0.0,Claude 3.6S
199,162,361,reasoning,1500,2,0.475,5.891644211825771,0,0.08,Claude 3.6S
886,285,1171,code,400,1,0.35,7.066466970136958,1,0.07,Gemini 3
2104,1432,3536,chat,1500,2,0.475,8.17103418920548,0,0.0,Claude 3.6S
353,334,687,code,1500,1,0.35,6.5337888379333435,0,0.07,Claude 3.6S
1155,728,1883,writing,800,3,0.6,7.5411524551363085,0,0.04,Claude 3.6S
1878,818,2696,writing,800,3,0.6,7.89989532313973,0,0.04,Claude 3.6S
371,264,635,qa,800,1,0.35,6.455198563340122,0,0.03,Claude 3.6S
1090,383,1473,reasoning,1500,2,0.475,7.295735072749282,0,0.08,Claude 3.6S
2331,1400,3731,chat,3000,3,0.6,8.224699561967235,0,0.0,Claude 3.6S
364,282,646,reasoning,1500,3,0.6,6.4723462945009,0,0.08,Claude 3.6S
672,201,873,qa,200,2,0.475,6.773080375655535,1,0.03,Gemini 3
1525,542,2067,chat,800,1,0.35,7.63433723562832,0,0.0,Claude 3.6S
1892,681,2573,chat,800,2,0.475,7.8532163881560715,0,0.0,Claude 3.6S
205,229,434,code,3000,2,0.475,6.075346031088684,0,0.07,Claude 3.6S
1024,369,1393,code,1500,3,0.6,7.239932591320469,0,0.07,Claude 3.6S
2358,1787,4145,qa,400,3,0.6,8.329899292995725,1,0.03,Gemini 3
911,532,1443,chat,1500,4,0.725,7.275172319452771,0,0.0,Claude 3.6S
2428,629,3057,writing,800,3,0.6,8.025516386489008,0,0.04,Claude 3.6S
341,297,638,reasoning,800,5,0.85,6.459904454377535,0,0.08,Gemini 3
1983,829,2812,chat,3000,2,0.475,7.9420068084898565,0,0.0,Claude 3.6S
2025,610,2635,qa,400,4,0.725,7.877017895622398,1,0.03,Gemini 3
2198,1682,3880,chat,400,2,0.475,8.263848131368906,1,0.0,Gemini 3
486,281,767,writing,400,4,0.725,6.643789733147672,1,0.04,Claude 3.6S
412,316,728,chat,200,1,0.35,6.591673732008658,1,0.0,Gemini 3
2422,1089,3511,chat,1500,1,0.35,8.163940954755008,0,0.0,Claude 3.6S
350,223,573,writing,6000,2,0.475,6.352629396319566,0,0.04,Claude 3.6S
1043,454,1497,qa,1500,2,0.475,7.311886164077165,0,0.03,Claude 3.6S
8572,2629,11201,reasoning,3000,2,0.475,9.323847612769777,0,0.08,Claude 3.6S
314,292,606,chat,1500,1,0.35,6.408528791059498,0,0.0,Claude 3.6S
65,288,353,chat,1500,3,0.6,5.869296913133774,0,0.0,Claude 3.6S
288,263,551,writing,400,1,0.35,6.313548046277095,1,0.04,Claude 3.6S
608,323,931,writing,1500,4,0.725,6.837332814685591,0,0.04,Claude 3.6S
174,163,337,writing,1500,2,0.475,5.823045895483019,0,0.04,Claude 3.6S
144,116,260,qa,6000,1,0.35,5.564520407322693,0,0.03,Claude 3.6S
297,432,729,code,400,2,0.475,6.593044534142437,1,0.07,Claude 3.6S
1904,802,2706,chat,1500,5,0.85,7.903596289614301,0,0.0,Claude 3.6S
1199,1045,2244,code,400,1,0.35,7.716460800176354,1,0.07,Gemini 3
56,190,246,writing,400,2,0.475,5.5093883366279774,1,0.04,Claude 3.6S
434,269,703,qa,400,1,0.35,6.556778356158042,1,0.03,Claude 3.6S
2007,632,2639,chat,800,5,0.85,7.878534196140362,0,0.0,Claude 3.6S
423,240,663,chat,1500,2,0.475,6.498282149476434,0,0.0,Claude 3.6S
486,530,1016,code,400,4,0.725,6.92461239604856,1,0.07,Gemini 3
169,330,499,writing,400,2,0.475,6.214608098422191,1,0.04,Claude 3.6S
259,259,518,chat,1500,3,0.6,6.251903883165888,0,0.0,Claude 3.6S
78,143,221,qa,800,3,0.6,5.402677381872279,0,0.03,Claude 3.6S
2479,791,3270,qa,200,4,0.725,8.092851027538384,1,0.03,Gemini 3
1007,400,1407,chat,800,4,0.725,7.249925536717988,0,0.0,Claude 3.6S
171,324,495,writing,6000,5,0.85,6.206575926724927,0,0.04,Claude 3.6S
398,339,737,chat,3000,3,0.6,6.6039438246004725,0,0.0,Claude 3.6S
954,708,1662,qa,6000,3,0.6,7.416378479192927,0,0.03,Claude 3.6S
416,378,794,chat,400,3,0.6,6.678342114654332,1,0.0,Claude 3.6S
40,84,124,writing,1500,1,0.35,4.828313737302301,0,0.04,Claude 3.6S
94,207,301,qa,800,3,0.6,5.71042701737487,0,0.03,Claude 3.6S
85,279,364,chat,400,4,0.725,5.8998973535824915,1,0.0,Claude 3.6S
9468,3000,12468,chat,1500,1,0.35,9.431000842996585,0,0.0,Claude 3.6S
96,96,192,code,400,4,0.725,5.262690188904886,1,0.07,Claude 3.6S
93,163,256,qa,3000,2,0.475,5.549076084895219,0,0.03,Claude 3.6S
525,354,879,chat,800,1,0.35,6.779921907472252,0,0.0,Claude 3.6S
1859,1285,3144,reasoning,800,3,0.6,8.05356916913454,0,0.08,Claude 3.6S
61,171,232,writing,800,3,0.6,5.4510384535657,0,0.04,Claude 3.6S
323,89,412,reasoning,1500,2,0.475,6.023447592961032,0,0.08,Claude 3.6S
1901,612,2513,reasoning,3000,2,0.475,7.829630389150193,0,0.08,Claude 3.6S
252,222,474,code,200,2,0.475,6.163314804034641,1,0.07,Gemini 3
1531,1118,2649,qa,400,5,0.85,7.882314918980268,1,0.03,Gemini 3
85,152,237,chat,800,3,0.6,5.472270673671474,0,0.0,Claude 3.6S
585,349,934,code,1500,2,0.475,6.8405465292886865,0,0.07,Claude 3.6S
1104,971,2075,qa,400,2,0.475,7.638198244285779,1,0.03,Gemini 3
1182,380,1562,chat,1500,5,0.85,7.354362330421476,0,0.0,Claude 3.6S
531,334,865,chat,200,1,0.35,6.763884908562435,1,0.0,Gemini 3
29,93,122,writing,1500,2,0.475,4.812184355372417,0,0.04,Claude 3.6S
188,222,410,writing,1500,5,0.85,6.018593214496234,0,0.04,Claude 3.6S
1891,816,2707,writing,400,3,0.6,7.903965634032165,1,0.04,Gemini 3
848,327,1175,chat,400,3,0.6,7.069874128458572,1,0.0,Gemini 3
413,327,740,chat,3000,3,0.6,6.608000625296087,0,0.0,Claude 3.6S
414,286,700,writing,3000,3,0.6,6.55250788703459,0,0.04,Claude 3.6S
2091,574,2665,chat,800,4,0.725,7.888334500738654,0,0.0,Claude 3.6S
1536,1159,2695,writing,400,2,0.475,7.899524472032198,1,0.04,Gemini 3
2320,958,3278,qa,1500,2,0.475,8.095293776844647,0,0.03,Claude 3.6S
440,150,590,code,800,3,0.6,6.381816017406098,0,0.07,Claude 3.6S
468,379,847,chat,3000,1,0.35,6.742880635791903,0,0.0,Claude 3.6S
753,357,1110,writing,1500,3,0.6,7.0130157896396295,0,0.04,Claude 3.6S
2275,749,3024,writing,1500,3,0.6,8.014666370464942,0,0.04,Claude 3.6S
2293,1055,3348,qa,800,2,0.475,8.116417072794205,0,0.03,Claude 3.6S
3386,1061,4447,code,800,1,0.35,8.400209835930418,0,0.07,Claude 3.6S
6848,3000,9848,code,3000,2,0.475,9.195125206169703,0,0.07,Claude 3.6S
992,771,1763,reasoning,800,4,0.725,7.475339236566736,0,0.08,Claude 3.6S
615,456,1071,chat,1500,2,0.475,6.977281341630747,0,0.0,Claude 3.6S
368,332,700,reasoning,3000,1,0.35,6.55250788703459,0,0.08,Claude 3.6S
1216,749,1965,code,200,3,0.6,7.583756300707112,1,0.07,Gemini 3
171,119,290,qa,6000,2,0.475,5.673323267171492,0,0.03,Claude 3.6S
1790,408,2198,reasoning,800,2,0.475,7.695757990554761,0,0.08,Claude 3.6S
1436,694,2130,reasoning,800,3,0.6,7.664346632098617,0,0.08,Claude 3.6S
2488,1589,4077,chat,400,3,0.6,8.3133619511344,1,0.0,Gemini 3
260,307,567,qa,800,2,0.475,6.342121418721151,0,0.03,Claude 3.6S
309,131,440,qa,1500,1,0.35,6.089044875446846,0,0.03,Claude 3.6S
339,309,648,qa,3000,1,0.35,6.4754327167040895,0,0.03,Claude 3.6S
76,169,245,code,800,1,0.35,5.5053315359323625,0,0.07,Claude 3.6S
960,620,1580,chat,200,3,0.6,7.3658128372094716,1,0.0,Gemini 3
1574,1257,2831,chat,800,4,0.725,7.94873845481361,0,0.0,Claude 3.6S
90,125,215,code,1500,2,0.475,5.375278407684164,0,0.07,Claude 3.6S
2178,1338,3516,reasoning,1500,4,0.725,8.165363632473982,0,0.08,Claude 3.6S
946,605,1551,writing,1500,2,0.475,7.3472997007431635,0,0.04,Claude 3.6S
365,232,597,reasoning,400,4,0.725,6.393590753950631,1,0.08,Claude 3.6S
1408,900,2308,qa,800,1,0.35,7.744569809354495,0,0.03,Claude 3.6S
9299,2709,12008,reasoning,1500,3,0.6,9.393411647660683,0,0.08,Claude 3.6S
437,342,779,code,400,3,0.6,6.659293919683638,1,0.07,Claude 3.6S
317,232,549,qa,800,2,0.475,6.309918278226516,0,0.03,Claude 3.6S
1668,930,2598,code,1500,5,0.85,7.86288203464149,0,0.07,Claude 3.6S
3271,1336,4607,reasoning,400,1,0.35,8.435549202375727,1,0.08,Gemini 3
374,217,591,code,200,1,0.35,6.3835066348840055,1,0.07,Gemini 3
1738,1242,2980,chat,800,2,0.475,8.000014093678072,0,0.0,Claude 3.6S
610,505,1115,chat,1500,2,0.475,7.017506142941256,0,0.0,Claude 3.6S
3445,1758,5203,chat,400,2,0.475,8.557182839632395,1,0.0,Gemini 3
461,447,908,chat,3000,1,0.35,6.812345094177479,0,0.0,Claude 3.6S
61,265,326,code,1500,4,0.725,5.7899601708972535,0,0.07,Claude 3.6S
7011,2543,9554,chat,800,2,0.475,9.164819856674374,0,0.0,Gemini 3
475,198,673,chat,3000,1,0.35,6.513230110912307,0,0.0,Claude 3.6S
364,452,816,code,800,1,0.35,6.705639094860002,0,0.07,Claude 3.6S
511,432,943,qa,800,1,0.35,6.8501261661455,0,0.03,Claude 3.6S
71,135,206,chat,800,1,0.35,5.332718793265369,0,0.0,Claude 3.6S
913,657,1570,chat,400,2,0.475,7.359467638255621,1,0.0,Gemini 3
189,191,380,chat,800,4,0.725,5.9427993751267,0,0.0,Claude 3.6S
