Field,Achievement,Result,Human result,Outperforms human avg?,Model,Testing date,"Peer-
reviewed?","Paper/
link",Extract
Investment,GPT-4’s stock selection accuracy is as high as 60% vs humans at 52%.,60.35,52.71,Yes,GPT-4,May/2024,No,🔗,"""With the step-by-step prompts, GPT-4 achieved a prediction accuracy of 60.35 per cent, significantly higher than the 52.71 per cent accuracy of human analysts. Moreover, GPT-4’s F1-score, which balances the accuracy and relevance of predictions, also outperformed that of the human analysts."""
Investment,"GPT-4 returned 15% on the stock market (limited evidence, 11 test runs over 12 months).",,,Yes,GPT-4,May/2024,No,🔗,"""The average return for the two LLMs used by the GPT Investor is as follows: GPT-4: 15.54% (with a corresponding average $SPY return of 9.74%)"""
Information security,GPT-4 can exploit zero-day security vulnerabilities all by itself,87.0,,Yes,GPT-4,Apr/2024,Yes,🔗,"""When given the CVE description, GPT-4 is capable of exploiting 87% of these vulnerabilities compared to 0% for every other model we test"""
Psychology,GPT-4 outperforms 100% of psychologists in Social Intelligence,92.18,39.19,Yes,GPT-4,Apr/2024,Yes,🔗,"""In ChatGPT-4, the score on the SI scale was 59, exceeding 100% of specialists, whether at the doctoral or the bachelor’s levels.... the average scores were 39.19 of bachelor’s students and 46.73 of PhD holders. While the raw scores of the AI models were treated as representing independent individual samples (one total score for each model); the scores of SI were 59 of GPT4"" https://www.psypost.org/chatgpt-4-outperforms-human-psychologists-in-test-of-social-intelligence-study-finds/"
Psychiatry,GPT-4 outperforms human psychiatrists,75.0,,Yes,GPT-4,Apr/2024,Yes,🔗,"""GPT-4 performance was highest in psychiatry, with a median 75th percentile among physicians (95% CI, 66.3 to 81.0)... Compared with the performance of 849 physicians who took the board medical examination in 2022, GPT-4 performed above the median physician in internal medicine and psychiatry and ranked above a considerable fraction of physicians in other disciplines."""
Art (via prompting Midjourney),GPT-4 outperforms humans in image creation,,,Yes,GPT-4,Mar/2024,Yes,🔗,"""We conduct an extensive human evaluation experiment, and find that AI excels human experts, and Midjourney is better than the other text-to-image generators... On average, prompts improve 20.39% for short text descriptions compared to human-generated social media creatives"""
Persuasion/argument/debate,Persuasion: GPT-4 better than human debater,,,Yes,GPT-4,Mar/2024,Yes,🔗,"""participants who debated GPT-4 with access to their personal information had 81.7% (p < 0.01; N=820 unique participants) higher odds of increased agreement with their opponents compared to participants who debated humans. Without personalization, GPT-4 still outperforms humans, but the effect is lower and statistically non-significant (p=0.31)."""
Aerospace,GPT-4 and GPT-4V can help fly a plane,,,Yes,GPT-4,Mar/2024,Yes,🔗,"‘[GPT-4V and GPT-4 was used] to interpret and generate human-like text from cockpit images and pilot inputs, thereby offering real-time support during flight operations. To the best of our knowledge, this is the first work to study the virtual co-pilot with pretrained LLMs for aviation... The case study revealed that GPT-4, when provided with instrument images and pilot instructions, can effectively retrieve quick-access references for flight operations. The findings affirmed that the V-CoP can harness the capabilities of LLM to comprehend dynamic aviation scenarios and pilot instructions.’"
Relationships,"ChatGPT converses with 5,239 girls for Russian programmer.",,,Yes,GPT-4,Feb/2024,No,🔗,"‘In total, the bot met 5,239 girls, out of which Alexander selected four most suitable ones. Ultimately, he chose one of them named Karina…’"
Academia,GPT-4 writes better essays than humans,,,Yes,GPT-4,30/Oct/2023,Yes,🔗,"""ChatGPT generates essays that are rated higher regarding quality than human-written essays."""
Psychotherapy,Seligman: “This is a rare moment in the history of scientific psychology: [GPT-4] now promises much more effective psychotherapy and coaching.”,,,Yes,GPT-4,29/Sep/2023,Yes,🔗,https://www.eurekalert.org/news-releases/1003232
Legal,ChatGPT officiates wedding,,,Yes,ChatGPT,5/Jul/2023,No,🔗,"‘ChatGPT planned the welcome, the speech, the closing remarks — everything except the vows — making ChatGPT, in essence, the wedding officiant.’"
Chemistry,"GPT-4 helps with ‘instructions, to robot actions, to synthesized molecule.’",,,Yes,GPT-4,19/Jun/2023,Yes,🔗,"‘We report a model that can go from natural language instructions, to robot actions, to synthesized molecule with an LLM. We synthesized catalysts, a novel dye, and insect repellent from 1-2 sentence instructions. This has been a seemingly unreachable goal for years!’"
Chip design,"ChatGPT helps design an accumulator, part of a CPU",,,Yes,ChatGPT,22/May/2023,Yes,🔗,‘two hardware engineers “talked” in standard English with ChatGPT-4 – a Large Language Model (LLM) built to understand and generate human-like text type – to design a new type of microprocessor architecture. The researchers then sent the designs to manufacture.’ Paper: https://arxiv.org/abs/2305.13243 
Medical,ChatGPT 'higher quality' and 'more empathetic' than human doctors,,,Yes,ChatGPT,28/Apr/2023,Yes,🔗,Chatbot responses were rated of significantly higher quality than physician responses…  9.8 times higher prevalence of empathetic or very empathetic responses for the chatbot.
Lottery,"Human wins lottery with numbers provided by ChatGPT (this is tongue-in-cheek, but it did happen!)",,,Yes,ChatGPT,17/Apr/2023,No,🔗,"Patthawikorn Boonrin revealed that he put in a few hypothetical questions... and received the numbers 57, 27, 29, and 99 from the chatbot... the numbers ended up winning him a [lottery] prize..."
Quantum computing,GPT-4 achieves a 'B' grade (73/100) on exam.,73.0,74.4,No,GPT-4,11/Apr/2023,No,🔗,"The result: GPT-4 scored 73 / 100. (Because of extra credits, the max score on the exam was 120, though the highest score that any student actually achieved was 108.) For comparison, the average among the students was 74.4 (though with a strong selection effect—many students who were struggling had dropped the course by then!). While there’s no formal mapping from final exam scores to letter grades (the latter depending on other stuff as well), GPT-4’s performance would correspond to a solid B."
"Jurisprudence/
legal rulings",ChatGPT helps a judge with a verdict (India).,,,-,ChatGPT,29/Mar/2023,No,🔗,"‘Armed with [ChatGPT's] legal expertise, Chitkara ultimately rejected the defendant’s bail bid on the grounds that they did act cruelly before the victim died.’"
Japan: National Medical Licensure Examination,"Bing Chat would achieve 78% [above cut-off grade of 70%], ChatGPT would achieve 38%",78.0,,Yes,Bing Chat,9/Mar/2023,Yes,🔗,‘The   accuracy  of   ChatGPT  was   lower   than  prior   studies   using  the   United  States Medical Licensing Examination. The limited amount of Japanese language data may have affected the ability of ChatGPT to correctly answer medical questions in Japanese... Bing has an accuracy level to pass the national medical licensing exam in Japan.’
Spanish medical examination (MIR),"Bing Chat would achieve 93%, ChatGPT would achieve 70%, both above cut-off grade",93.0,,Yes,Bing Chat,2/Mar/2023,No,🔗,"‘I asked 185 questions, excluding the 25 that required images, which I removed. To balance the exam, I added the 10 reserve questions for the challenges. Out of the 185 questions, Bing Chat answered 172 correctly and failed on 13, resulting in a success rate of 93%’"
Cover of TIME magazine,ChatGPT made the 27/Feb/2023 cover of TIME magazine.,,,Yes,ChatGPT,27/Feb/2023,No,🔗,"Alan: this one is not really an ability, but definitely an achievement!"
CEO,ChatGPT appointed to CEO of CS India.,,,-,ChatGPT,9/Feb/2023,No,🔗,"‘As CEO, ChatGPT will be responsible for overseeing the day-to-day operations of CS India and driving the organization's growth and expansion. ChatGPT will use its advanced language processing skills to analyze market trends, identify new impact opportunities, and develop strategies...’"
Software dev job,"ChatGPT would be hired as L3 Software Developer at Google: the role pays $183,000/year.",,,Yes,ChatGPT,31/Jan/2023,No,🔗,"https://www.pcmag.com/news/chatgpt-passes-google-coding-interview-for-level-3-engineer-with-183k-salary 
https://www.cnbc.com/2023/01/31/google-testing-chatgpt-like-chatbot-apprentice-bard-with-employees.html
""ChatGPT gets hired at L3 when interviewed for a coding position"""
"Jurisprudence/
legal rulings",ChatGPT helps a judge with a verdict (Colombia).,,,-,ChatGPT,31/Jan/2023,No,🔗,"English: https://interestingengineering.com/innovation/chatgpt-makes-humane-decision-columbia
Spanish: https://www.bluradio.com/judicial/sentencia-la-tome-yo-chatgpt-respaldo-argumentacion-juez-de-cartagena-uso-inteligencia-artificial-pr30 
""On January 31, the first labor court of Cartagena resolved a guardianship action with the help of the famous artificial intelligence known as ChatGPT, arguing that it applied Law 2213 of 2022, which says that in certain cases these virtual tools can be used."""
Politics,ChatGPT writes several Bills (USA).,,,-,ChatGPT,26/Jan/2023,Yes,🔗,"Regulate ChatGPT: https://malegislature.gov/Bills/193/SD1827 
Mental health & ChatGPT: https://malegislature.gov/Bills/193/HD676"
MBA,ChatGPT would pass an MBA degree exam at Wharton (UPenn).,,,Yes,ChatGPT,22/Jan/2023,Yes,🔗,"""Considering this performance, ChatGPT would have received a B to B- grade on the exam."""
Accounting,GPT-3.5 would pass the US CPA exam.,57.6,,Yes,text-davinci-003,11/Jan/2023,Yes,🔗,"""the model answers 57.6% of questions correctly"""
Legal,GPT-3.5 would pass the bar in the US.,50.3,,Yes,text-davinci-003,29/Dec/2022,Yes,🔗,"""GPT-3.5 achieves a headline correct rate of 50.3% on a complete NCBE MBE practice exam"""
Medical,ChatGPT would pass the United States Medical Licensing Exam (USMLE).,,,Yes,ChatGPT,20/Dec/2022,Yes,🔗,"""ChatGPT performed at >50% accuracy across all examinations, exceeding 60% in most analyses. The USMLE pass threshold, while varying by year, is approximately 60%. Therefore, ChatGPT is now comfortably within the passing range."""
IQ (fluid/aptitude),ChatGPT outperforms college students on the Raven's Progressive Matrices aptitude test.,,,Yes,text-davinci-003,19/Dec/2022,Yes,🔗,More info at: https://lifearchitect.ai/ravens/
AWS certificate,ChatGPT would pass the AWS Certified Cloud Practitioner exam.,80.0,,Yes,ChatGPT,8/Dec/2022,No,🔗,"""Final score: 800/1000; a pass is 720"""
IQ (verbal only),"ChatGPT scores IQ=147, 99.9th %ile.",,,Yes,ChatGPT,6/Dec/2022,No,🔗,"""Psychology Today Verbal-Linguistic Intelligence IQ Test, it gets a score of 147!"""
SAT exam,ChatGPT scores 1020/1600 on SAT exam.,52.0,,Yes,ChatGPT,2/Dec/2022,No,🔗,"""According to collegeboard, a 1020/1600 score is ~52nd percentile."""
General knowledge,GPT-3 would beat IBM Watson on Jeopardy! questions.,100.0,,Yes,davinci,20/Sep/2021,No,🔗,"Watson scored 88%, GPT-3 scored 100%."
"IQ (Binet-Simon Scale, verbal only)",GPT-3 scores in 99.9th %ile (estimate only).,99.9,,Yes,davinci,11/May/2021,No,🔗,"""As of 2021, I expect that it would not be simple to assess the intelligence of an AI using current IQ instrument design... some subtests where the AI would be easily in the top 0.01% of the world population (processing speed, memory), while other subtests may be far lower."""
General knowledge,GPT-3 outperforms average humans on trivia.,73.0,,Yes,davinci,12/Mar/2021,No,🔗,"""GPT-3 got 73% of 156 trivia questions correct. This compares favorably to the 52% user average."""
Reasoning,GPT-3 would pass the SAT Analogies subsection.,65.2,57.0,Yes,davinci,28/May/2020,Yes,🔗,"""GPT-3 achieves 65.2% in the few-shot setting... average score among college applicants was 57% (random guessing yields 20%)."""
,,,,,,,,,
,,,,,,,,,
,See more benchmarks for large language models 2020-2025: ,,,,https://lifearchitect.ai/iq-testing-ai/ ,,,,
,"This sheet is owned and maintained by Dr Alan D. Thompson at LifeArchitect.ai. It should be up-to-date, but please see tab date and sheet header.",,,,,,,,
